,str0,int1,float2,float3,str4,str5,str6
0,hJNDpcpA,627,0.4232371068389019,0.8294738841031022,bZUXqFubbyCKCP,doKrkpzJmKGDDix,vySjHlNofqeNeE
1,jGwbJmIFYwSwhjeVh,429,0.9794838530184493,0.47592913576934015,LVdZZEyENWdcvZ,nJIaonN,edBTaHlEA
2,ZNpYSwb,984,0.963585265229892,0.022148169045003607,SoVCJtYtiuAAOXpYmxny,PLRYcItYPoe,OcjYwHwrtFErHYhzGMN
3,nQjBoPjp,362,0.38174609955445704,0.9319103843578957,fmlKBIMbLjBvJYDitK,JseDV,yuGNa
4,BTQMgU,574,0.3095585681714952,0.7238236692359015,AeYzNJgdDynHqEyWDD,XyYvSGFkcaQNPNpgmS,beiMCJY
5,oATwdCasJncLZije,34,0.911360529662876,0.8473951455024676,LNFaDBILpXZQ,OcWLBTCbKCcayPIgLelz,KyKLGTOrtXASiX
6,KuIWxZatqqyAuqouXt,546,0.8849770991295277,0.6681389893001066,jFVZzdS,FynBliBaTSBASZrSrxWp,ClBiAbbfLN
7,nkUgPsbqILzvpLO,361,0.43921001210967536,0.823290865015231,vhNXvHRajNRYJXFWFbq,SSUHXcmdI,JyVoyjfFdOhLfFiZ
8,xLljzvqCTMqZXT,21,0.37870698308369444,0.1368048963150359,tNUlZdIyEGMu,WISdtYoHiPhVNWX,zvXxHlKoonQGxcYWPc
9,xfqpURdrsWXXEB,926,0.2126740797041473,0.4942577405308721,jiROBNrVFCevuXfqmfu,FhcuEfhgZZHSzT,JmBbODzaqKUesZ
10,VFRSHq,374,0.06456853737577406,0.4763717700872777,KuSuwNbNPWuyia,YUYdBHEPRcEgrdQUOb,pWzshaeSIalRhaOfEGJq
11,URRpoqZM,265,0.7687011149073826,0.059163656427880795,QVrheeifpu,UDUUevgEzUEoz,rhyjdHcVo
12,vdKAJmrqleAuofFjb,334,0.8486291433047682,0.23915701008600565,gyJYbbB,oPrHGuxkZNd,ssoldBcGTnqjrVk
13,tonSY,201,0.1779786492020652,0.031178622365483966,poEky,cpFgZoc,ZvihWOmsPkYioJ
14,YumrB,710,0.08318831647067126,0.31543837639312855,kBkjvKkrpqKwjCYN,ZgOqfi,nFAAWpGGhhdu
15,CHfuQoSJlFGEdm,683,0.168657263656816,0.9209455251189166,SqsvxWuedDsVpoldKC,wzSbDEEFUHyC,BOeAByugGtHtsyo
16,tltNqEfgdAYlzM,478,0.6746457285628574,0.8449870647120682,HrPhKJgwPYeaqsZg,blPTFXcg,bottNpjhLHZEKCtnsm
17,IwwfuKpjGHxVLLYC,527,0.8000440008881963,0.0489716798506844,JvjfVUOueHMDO,UkUbGbcWO,lQThHgmQDrKu
18,LazcsSFxB,906,0.12297713496518714,0.24089363178108936,ZeacXWhgfZnCuOc,VcjpvVTdBGX,tiAwidcFWEE
19,vfTHoAMZKPrLL,223,0.7708125217289292,0.14201021468237918,BKoSJNEDa,EbBXjsbvKRyp,cqjVUnTxVIgZCYPWwU
20,CrQrrySz,360,0.8579919442813875,0.39275708927551056,LVQnILQVVwIVEQaee,YiVkjhuiDec,atqFUjTFdZRfbSg
21,FLcnMguLojSaJoY,181,0.610801965064939,0.28540820260388444,NWeowWPtReqTQYKpIil,wuJuIRyvHjvFzKVqMg,OZrjVFN
22,wpxTkusxOsvgsj,988,0.31875446442875077,0.551941266785945,XlXitAAh,eSTIUlfSqolAuKCIpb,oEPMUfz
23,UCkybUQV,341,0.20888885743869345,0.22799442645178436,jVJaGSkipFhahzYivCV,CgiQWOf,cdeTNNRqjLGb
24,JcWKIM,203,0.9741939274917687,0.632823325658567,liZfkMAATGDWkceOLjy,hljOneonPhwHMxLAHya,lLywDYpYiNeoIXBf
25,xfsDYeWaVKXBbKdGKHY,671,0.9226426501123243,0.5605255027558316,AwjCSSBx,PbCzbrXUXJWR,OuoOaqGHTjKlUcqFzH
26,pdKzi,569,0.28425495444809856,0.4653648059950063,tKeIXFFGuGfM,ksZSewC,SYvGYn
27,YgzHPOBsMBCwgIKUeV,444,0.8674033347330407,0.8978168763522539,ILyewLhX,snRCyB,zlKevIfZnzqUIycRNvF
28,aXeNhcRjoBEEZTGuQgv,268,0.05565794646601774,0.5580585842333954,NQLPFvpdFNQZEGCHTE,hBwvSAaLtg,LhcUiKsGviNkMvUenRwy
29,yveSuie,450,0.6890167664224859,0.24650219618887936,isNLuBkREjrLMYz,nSavKRPPaRFYvCtzrYN,SjlYNyTOfuWE
30,QcloCZ,70,0.4802460380496265,0.15321668915346276,iGxMVsZWw,ZDDwJehlaPZR,ZkzlEZrTPWy
31,AKVjjGRknTFY,105,0.029748408007973737,0.6450867264605936,hXmTwLlyDf,hmWLeHLA,dHvboOgn
32,hSgqCeZH,996,0.1612047197578842,0.2567367906720607,TVxpBZFCrddKRnUPHWx,oUlwsRw,fFYmOMiVQpKDZHIKk
33,ggWqtHHWIVoVWyQs,4,0.5270315668106038,0.076333373492806,JidmLzwFxDa,mgmtMXFkkOwdGC,QaywuLOO
34,WXGhDJKwFFGovqaxCNKD,590,0.6793785521880348,0.09992678476103256,GKpnSJjEssNoRtdRPC,uzlCxoHXnt,rJKVujTWjukIWE
35,ceVJoQKrgMQF,983,0.17366756002610184,0.26797798384526605,euuQkgFWE,xkpvUHRhIm,THXniB
36,zFZCViIvpNhyBt,79,0.8843700806533042,0.9649068808991981,dizNoxRyXAFenC,AchrxPTuCgSk,vxvOYXOIgyUnItlR
37,KkLzFWVOdet,859,0.3930652712380005,0.1483460938246559,UaFmqucuDLbSMjf,COHvDKYjZuR,unXcFHkXajDagUrOh
