,str0,int1,str2,str3,float4,float5,str6
0,CGRxdrjuKQaZZE,495,ncknocJOmOiKwVM,uNfeSnzXFHLFtiI,0.770799061685272,0.3042131522925766,beobhFbJYeFfBhxK
1,CkqggQwi,104,IotFMTIogvnVqDBP,FNJGQYFByPwVqUzb,0.5382869003200978,0.4284855214366077,rORmpUjrklX
2,sPQdaRlhaTNPIoaT,513,DTjLTiwaYWPNiGeWFarS,lgGMNhVDurSCctZIX,0.3370269017072446,0.3116040359763753,SNXVslRkRGzdKSmhKO
3,eshPilcnAauDW,946,cyTRZMBRiVd,rOlWGlhzvPMOQb,0.9771266747133673,0.03153407456554469,TofAMnFPWv
4,xnOXYhoMzWmV,680,FfTJBcTCLwxLJGrpunl,aQSUPhxKozKMjXyHy,0.9842312228565893,0.7665069843781855,djsYt
5,CzDDpnjFnnVQmAJuqS,894,yXMOzajRNKRJRZlaRCN,wgjOyKZuuhIdhtRIl,0.5104562978315378,0.5897393773006334,nyqhqBmrccXYIx
6,ApElYy,816,zacZtconALEjLbrLCsbj,NYvEiPJFgvc,0.015317858292297037,0.8298792517829837,IDpWNLiPGlbic
7,ZvLDP,789,aZcRDwmbCLzrmg,mCsgNyMgAUmjnACHg,0.44137147165208535,0.4285575001979999,oHHGkfxPoDiaa
8,rjFDMBhZgP,326,cOUBDV,qApTCYbOntjUbDCDSSJy,0.9678338453317012,0.24157679896679407,GxtFvVbRPGyYDgC
9,zbEGNtNxyBHQdQYUQ,53,AnkXuQjunpXgnRrVR,DviRmJpQTwov,0.19523775173758384,0.6623985636154387,LUFEXCMYxyGEo
10,GTAHBlWLyigLFGrDBfT,144,VLuQwgMYrorsWHfsD,frxcUpnOzpTAHuAcRkY,0.2529842645696526,0.004461445894037963,foAfpFgoCNIIakt
11,aFtpfAVbxdYNJUbj,733,yodFHllMHmXfcXrbzL,KWjxnv,0.44652838341325574,0.6400810336540537,XTLBLTVWWQeUj
12,QQBYLcHgPYzIyC,736,GhGukYJHBzb,PZjWR,0.37429241135909297,0.27156294350134424,gExGksthk
13,BVUnMKsM,709,sYMCnGbsv,MJHzgVecXFGYCA,0.6588562565782718,0.5418224979733479,IOObmlUjBkdISqhD
14,zHvKrf,103,hmHVNAlUKH,IzDHHMlYEIEnTbbLL,0.6962118461863284,0.3085473779218173,mNZPqeuWf
15,nNkSlZPggOAKknx,840,UJCNxNULpxCSWjohN,vXmHNiEQVEltAy,0.22237549272948887,0.13819806909114862,OLPHQKp
16,rBqQZFxsgAqHVzKUW,187,hSuzcyHjwxVO,tNXxw,0.8094360247553654,0.4793318773213737,XTyLCOrKmAiESd
17,sYvisUISEDSk,837,gUMtsOjN,vyOVnjeYjGQmWupb,0.9719235681902483,0.28701229529708727,FhDemTfWnTgJX
18,RGZRvrMbLoqHBvzqbP,16,GfnAjLmb,yveptdCi,0.7343336240968807,0.7785281487926425,yzmMHemunVtr
19,tCWXkhkoCkeuVucMIe,720,imxSPZ,gOOMspgwJwDdkzT,0.8969555882151893,0.7234325056466685,AxGXS
20,FroZDstJTBSnJkA,884,CDMeTsQzrRAtbBUcElP,LYpXbVb,0.13231487276753662,0.9051046387906833,QwSIuDAyzbNLEFRduL
21,VnKyvr,864,cDhvxOkenmuW,VzpMZ,0.923214347753954,0.5201104643553819,WhArHSSDHHwixgdLlP
22,KbAtWHqpDZehyoA,197,BhZZlhQCkNtPwWXTVr,vhUtqvvFrtqpg,0.3851222186924449,0.2609486216872272,gFpWdssElCvkHL
23,kvLMVOGqRw,737,USBMbsTTuFCdiYlOyYx,qkmvz,0.29404118820922365,0.4275391503237561,vGjOtv
24,VVDyTSTyuFNtiFyMF,690,LChqpOgiokWQ,HesQNiGOntBbliO,0.12920623146248011,0.057745883947785126,lgIFLpQLwZneeQZAP
25,pOJsKqYzCA,83,rRGfORwmcPOeCroVeF,AFRoKABrxjxQM,0.4071616229948457,0.935571623049606,zAJNXzuTsnYgD
26,mGToO,157,tbSuEQpepDx,apfFKxqXqdtZfTXaOC,0.050336535846422725,0.8074026543377525,kEkdBgugWQrAcJ
27,LvLkpBusBROZhC,23,tdCRtDDVbtwmycdpoM,dNtaYVAktOkVrsJDtJg,0.8631014030456818,0.8126921692046433,YsvfvbSNElTmQ
28,zoLhnMmKjt,469,PaPNVDx,mdfNQ,0.802518364685255,0.578341746372785,USLXbiiJi
29,CMpFRnfnb,828,pcwuLBbarBZCitIweN,djlJAXrNnEckdQcACE,0.6574463976439835,0.6611080946672452,LSAnECxntNJdIZBlCc
30,bskAsCGWRMTJpSwMirYr,378,QXPBWCp,JbrpHReRTFo,0.39949966764329103,0.21301889290231024,XYwkPcxvGpGhCKJZshi
31,TCCvcFSlbiAJ,235,xVVHmlQVmopg,ruHbpZKjuz,0.7807724222441969,0.84819148723067,bxnWdNw
